"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_001MA","S1602_C01_001EA","S1602_C01_002E","S1602_C01_002EA","S1602_C01_002M","S1602_C01_002MA","S1602_C01_003E","S1602_C01_003EA","S1602_C01_003M","S1602_C01_003MA","S1602_C01_004E","S1602_C01_004EA","S1602_C01_004M","S1602_C01_004MA","S1602_C01_005E","S1602_C01_005EA","S1602_C01_005M","S1602_C01_005MA","S1602_C02_001E","S1602_C02_001M","S1602_C02_001MA","S1602_C02_001EA","S1602_C02_002E","S1602_C02_002EA","S1602_C02_002M","S1602_C02_002MA","S1602_C02_003E","S1602_C02_003EA","S1602_C02_003M","S1602_C02_003MA","S1602_C02_004E","S1602_C02_004EA","S1602_C02_004M","S1602_C02_004MA","S1602_C02_005E","S1602_C02_005EA","S1602_C02_005M","S1602_C02_005MA","S1602_C03_001E","S1602_C03_001EA","S1602_C03_001M","S1602_C03_001MA","S1602_C03_002E","S1602_C03_002EA","S1602_C03_002M","S1602_C03_002MA","S1602_C03_003E","S1602_C03_003EA","S1602_C03_003M","S1602_C03_003MA","S1602_C03_004E","S1602_C03_004EA","S1602_C03_004M","S1602_C03_004MA","S1602_C03_005E","S1602_C03_005M","S1602_C03_005MA","S1602_C03_005EA","S1602_C04_001E","S1602_C04_001M","S1602_C04_001MA","S1602_C04_001EA","S1602_C04_002E","S1602_C04_002EA","S1602_C04_002M","S1602_C04_002MA","S1602_C04_003E","S1602_C04_003M","S1602_C04_003MA","S1602_C04_003EA","S1602_C04_004E","S1602_C04_004M","S1602_C04_004MA","S1602_C04_004EA","S1602_C04_005E","S1602_C04_005M","S1602_C04_005MA","S1602_C04_005EA",
"1400000US06001402400","Census Tract 4024, Alameda County, California","1196","168","null","null","116","null","72","null","32","null","33","null","142","null","66","null","48","null","37","null","(X)","(X)","(X)","(X)","9.7","null","6.0","null","2.7","null","2.9","null","11.9","null","5.7","null","4.0","null","3.1","null","173","null","60","null","27","null","29","null","0","null","13","null","111","null","59","null","35","38","null","null","14.5","5.3","null","null","23.3","null","23.6","null","0.0","58.2","null","null","78.2","20.0","null","null","72.9","46.4","null","null",
"1400000US06001402500","Census Tract 4025, Alameda County, California","742","82","null","null","89","null","48","null","0","null","13","null","128","null","52","null","45","null","29","null","(X)","(X)","(X)","(X)","12.0","null","6.4","null","0.0","null","5.2","null","17.3","null","7.5","null","6.1","null","3.9","null","40","null","30","null","0","null","13","null","0","null","13","null","30","null","25","null","10","16","null","null","5.4","4.2","null","null","0.0","null","34.3","null","-","**","**","-","23.4","17.9","null","null","22.2","33.4","null","null",
"1400000US06001402600","Census Tract 4026, Alameda County, California","603","68","null","null","31","null","19","null","23","null","20","null","223","null","45","null","43","null","30","null","(X)","(X)","(X)","(X)","5.1","null","3.2","null","3.8","null","3.3","null","37.0","null","7.1","null","7.1","null","5.0","null","138","null","42","null","5","null","7","null","0","null","13","null","121","null","35","null","12","18","null","null","22.9","7.0","null","null","16.1","null","22.0","null","0.0","68.6","null","null","54.3","14.6","null","null","27.9","36.7","null","null",
"1400000US06001402700","Census Tract 4027, Alameda County, California","724","94","null","null","100","null","54","null","37","null","29","null","64","null","35","null","40","null","34","null","(X)","(X)","(X)","(X)","13.8","null","7.1","null","5.1","null","3.9","null","8.8","null","5.1","null","5.5","null","4.6","null","55","null","39","null","29","null","33","null","0","null","13","null","26","null","24","null","0","13","null","null","7.6","5.4","null","null","29.0","null","25.7","null","0.0","54.1","null","null","40.6","29.7","null","null","0.0","52.0","null","null",
"1400000US06001402801","Census Tract 4028.01, Alameda County, California","1786","304","null","null","123","null","90","null","150","null","98","null","227","null","124","null","72","null","66","null","(X)","(X)","(X)","(X)","6.9","null","5.2","null","8.4","null","5.7","null","12.7","null","7.1","null","4.0","null","3.8","null","81","null","64","null","0","null","13","null","18","null","29","null","40","null","39","null","23","35","null","null","4.5","3.7","null","null","0.0","null","27.2","null","12.0","23.1","null","null","17.6","15.6","null","null","31.9","45.5","null","null",
"1400000US06001402802","Census Tract 4028.02, Alameda County, California","699","111","null","null","29","null","34","null","12","null","20","null","95","null","77","null","0","null","13","null","(X)","(X)","(X)","(X)","4.1","null","4.9","null","1.7","null","2.8","null","13.6","null","10.4","null","0.0","null","5.6","null","55","null","54","null","0","null","13","null","0","null","13","null","55","null","54","null","0","13","null","null","7.9","7.6","null","null","0.0","null","61.1","null","0.0","95.0","null","null","57.9","51.0","null","null","-","**","**","-",
"1400000US06001402900","Census Tract 4029, Alameda County, California","1025","132","null","null","49","null","38","null","15","null","23","null","399","null","97","null","20","null","23","null","(X)","(X)","(X)","(X)","4.8","null","3.7","null","1.5","null","2.3","null","38.9","null","7.6","null","2.0","null","2.1","null","304","null","89","null","11","null","21","null","3","null","15","null","277","null","68","null","13","20","null","null","29.7","7.1","null","null","22.4","null","36.8","null","20.0","80.0","null","null","69.4","13.2","null","null","65.0","55.1","null","null",
"1400000US06001403000","Census Tract 4030, Alameda County, California","1510","177","null","null","28","null","25","null","75","null","53","null","1112","null","160","null","0","null","13","null","(X)","(X)","(X)","(X)","1.9","null","1.7","null","5.0","null","3.5","null","73.6","null","7.2","null","0.0","null","2.6","null","651","null","123","null","8","null","13","null","12","null","18","null","631","null","124","null","0","13","null","null","43.1","7.2","null","null","28.6","null","45.5","null","16.0","25.1","null","null","56.7","9.0","null","null","-","**","**","-",
"1400000US06001403100","Census Tract 4031, Alameda County, California","913","161","null","null","23","null","29","null","20","null","28","null","310","null","69","null","0","null","13","null","(X)","(X)","(X)","(X)","2.5","null","3.2","null","2.2","null","3.1","null","34.0","null","8.0","null","0.0","null","4.3","null","200","null","53","null","0","null","13","null","0","null","13","null","200","null","53","null","0","13","null","null","21.9","5.5","null","null","0.0","null","68.6","null","0.0","73.6","null","null","64.5","11.9","null","null","-","**","**","-",
"1400000US06001403301","Census Tract 4033.01, Alameda County, California","783","138","null","null","52","null","30","null","0","null","13","null","545","null","136","null","0","null","13","null","(X)","(X)","(X)","(X)","6.6","null","3.9","null","0.0","null","5.0","null","69.6","null","11.0","null","0.0","null","5.0","null","351","null","156","null","0","null","13","null","0","null","13","null","351","null","156","null","0","13","null","null","44.8","15.4","null","null","0.0","null","45.6","null","-","**","**","-","64.4","20.5","null","null","-","**","**","-",
